Latitude,1980,1990,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
80,621.25,684.66,720.79,757.85,795.60,821.36,837.35,849.64,857.57,863.42,869.38,875.11,878.51
75,2488.93,2708.27,2776.93,2833.60,2905.38,2929.65,2927.03,2916.70,2893.20,2872.22,2863.98,2865.78,2868.29
70,12657.14,13659.32,13873.02,13980.32,14192.49,14180.81,14071.32,13935.02,13748.30,13603.82,13549.11,13563.00,13601.10
65,50438.98,54511.06,56520.32,58167.86,60145.69,61343.85,62060.57,62598.67,62920.42,63329.94,63939.67,64642.20,65307.64
60,61876.01,66749.81,69215.48,71298.67,73765.11,75294.07,76203.86,76885.97,77312.38,77840.21,78605.86,79478.81,80305.48
55,78504.42,83198.63,84428.10,86261.01,88676.73,90139.67,90631.18,90674.12,90320.70,90048.89,90142.20,90508.67,91015.92
50,232592.23,244776.65,251368.37,255401.01,259225.31,260156.21,257573.20,253321.02,248226.42,243679.63,240773.06,239654.43,239634.35
45,314990.38,340231.73,355281.09,365919.51,375254.89,378679.03,376873.10,371300.99,363009.82,354898.90,348918.82,345221.58,343604.97
40,439802.93,493230.82,533223.09,563985.18,588556.80,599832.89,599836.92,590140.69,572767.72,553521.00,536515.51,523325.26,514736.95
35,507829.01,584245.40,651456.34,698892.37,742335.87,769070.39,780124.00,776997.92,762636.32,743089.26,723351.02,706404.02,693657.66
30,484466.53,576192.64,664896.61,738749.25,809051.72,863425.36,901108.04,922364.84,928599.18,924033.65,913191.65,900116.09,887353.64
25,522774.01,646560.38,764602.31,881471.25,983867.75,1064942.87,1121175.77,1151004.36,1154541.98,1137072.28,1105516.21,1067275.94,1028065.35
20,474730.35,585992.49,700025.21,814838.53,913724.28,993800.38,1051073.60,1083823.17,1092292.38,1080875.44,1055841.61,1024078.23,990881.80
15,254376.83,316031.76,381317.26,454524.92,521911.68,584178.09,639003.96,684044.22,718716.78,743283.21,758540.88,766249.40,768425.94
10,222941.30,284578.56,355103.03,434356.18,518247.21,604901.89,691911.77,775974.37,853734.70,923102.19,982599.68,1031570.94,1070309.32
5,182330.21,236355.59,297272.71,364331.91,439929.39,519135.81,599366.70,677192.26,749524.53,814022.84,868963.94,913467.55,947732.14
0,122794.33,156853.08,194010.86,236855.06,282302.95,328938.00,375250.25,419095.44,459334.64,494747.97,524415.16,548011.71,565570.76
-5,154515.55,194299.02,231416.58,274811.54,318310.66,360333.37,400288.21,436608.99,467912.92,494554.96,516675.76,534298.53,547660.94
-10,93224.44,117340.47,141333.10,167883.42,196263.39,225541.07,254947.32,283794.54,311331.89,337293.88,361332.87,383231.09,402715.77
-15,52780.78,67509.49,82547.62,99381.13,119920.95,142933.78,168260.04,195924.31,225157.73,255824.38,287240.71,318746.46,349896.48
-20,44887.24,57013.96,69676.50,81723.85,97669.35,114132.71,130865.42,147906.85,164674.30,180851.31,196209.87,210591.32,223981.67
-25,36223.61,44915.63,54528.32,62958.04,72361.63,81377.98,89548.86,96872.02,103241.41,108445.59,112475.18,115434.47,117481.61
-30,34899.99,42737.78,50937.45,57016.52,61660.74,65574.46,68397.81,70285.93,71372.94,71703.12,71395.77,70682.18,69792.25
-35,26609.88,31882.97,37540.23,41294.08,44133.63,46498.94,48103.70,49051.75,49481.23,49437.55,49003.27,48327.86,47570.99
-40,9738.92,11234.03,12765.43,14155.18,15442.30,16502.52,17278.28,17783.65,18024.23,18051.78,17944.84,17771.14,17583.44
-45,6036.13,6947.05,7904.35,8768.72,9554.93,10195.82,10651.45,10934.71,11055.93,11053.48,10974.33,10857.49,10738.16
-50,4410.45,5109.85,5847.99,6472.52,7034.80,7479.90,7780.01,7943.95,7980.87,7924.89,7811.64,7673.80,7543.47
-55,2677.59,3141.23,3638.07,4022.83,4360.18,4610.64,4758.25,4810.11,4775.23,4682.88,4556.44,4419.00,4297.38
-60,118.83,140.11,163.77,181.82,196.98,207.60,212.85,213.31,209.73,203.85,196.73,189.34,183.11
