Latitude,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050
80,207,301,393,453,515,555,584,622,662,696,726
75,823,"1,186","1,525","1,781","2,012","2,096","2,124","2,197","2,274","2,343","2,398"
70,"4,311","6,042","7,659","8,957","10,078","10,398","10,436","10,692","10,936","11,144","11,295"
65,"18,768","25,469","31,596","36,256","40,699","43,374","45,192","47,566","49,652","51,379","52,769"
60,"23,291","31,394","38,871","44,534","49,908","53,192","55,500","58,461","61,058","63,194","64,921"
55,"35,626","43,439","51,445","57,725","62,695","64,485","66,117","68,807","71,504","73,770","75,677"
50,"101,182","120,748","138,589","153,076","165,773","173,955","181,824","189,988","197,303","202,336","205,008"
45,"91,351","117,497","144,042","164,536","188,383","208,232","236,171","260,637","279,975","293,708","302,423"
40,"88,277","119,124","154,256","186,545","228,687","274,730","331,640","381,024","421,743","452,549","473,412"
35,"81,537","114,187","154,034","198,372","263,074","331,743","407,179","474,640","532,482","578,663","612,477"
30,"61,843","89,576","122,785","163,879","225,796","300,619","383,258","464,347","542,745","615,291","678,128"
25,"48,507","70,127","99,406","143,433","207,502","280,302","365,046","457,159","557,146","659,532","754,221"
20,"42,450","59,341","84,993","127,072","180,345","239,948","307,987","387,268","478,206","572,880","661,293"
15,"23,672","33,762","49,753","74,053","103,486","136,221","174,792","222,486","279,087","340,220","400,055"
10,"16,959","25,307","38,825","57,918","86,094","119,807","162,616","218,611","287,029","363,933","443,028"
5,"13,362","22,877","37,506","57,901","86,450","120,680","164,040","217,407","279,394","347,455","416,723"
0,"10,358","17,152","27,252","41,353","61,457","88,001","113,572","142,653","176,109","213,035","251,026"
-5,"12,295","19,188","30,234","47,020","71,248","102,459","127,695","156,455","190,131","226,944","263,379"
-10,"9,185","14,866","23,925","36,518","53,258","73,299","91,792","111,556","133,590","157,335","181,150"
-15,"5,981","9,804","15,903","24,380","34,823","46,585","59,585","73,327","88,235","104,181","120,641"
-20,"5,379","8,505","13,277","19,897","28,635","38,367","48,402","59,578","71,425","83,810","96,309"
-25,"6,452","9,566","13,767","18,956","25,964","33,730","41,339","48,827","56,240","63,436","70,213"
-30,"8,744","12,304","16,438","21,203","27,387","34,456","40,935","46,145","50,894","54,869","58,107"
-35,"8,397","11,271","14,397","17,764","22,146","27,149","31,501","34,982","38,104","40,596","42,512"
-40,"3,848","5,233","6,645","8,100","9,646","11,352","12,852","14,219","15,332","16,170","16,779"
-45,"2,366","3,223","4,113","5,011","5,942","7,003","7,928","8,764","9,442","9,948","10,305"
-50,"1,656","2,288","2,960","3,643","4,353","5,160","5,859","6,485","6,982","7,339","7,575"
-55,920,"1,309","1,750","2,191","2,651","3,174","3,631","4,031","4,337","4,544","4,661"
-60,38,55,77,97,117,141,162,180,194,203,207
